Query,Target,Diversity,Similarity,scaled_div,scaled_sim,IVS,scaled_IVS
10000_Restaurant_Reviews,2022_NEXT_UK-PM-Tweets,0.00635648,0.0303651019930839,0.10099436388565797,0.3587809178630706,0.018360790996541948,0.22988764087436428
10000_Restaurant_Reviews,2023-02-27-yc-companies,0.0132085937499999,0.0614337101578712,0.2485535139556111,0.4281623780783257,0.03732115195393555,0.3383579460169684
10000_Restaurant_Reviews,5-Minute_Crafts,0.0143550120935232,0.0996886268258094,0.273241445675207,0.5135920814225091,0.0570218194596663,0.393416763548858
10000_Restaurant_Reviews,700_Classic_Disco_Tracks_(with_Spotify_Data),0.0219018367346938,-0.0316603332757949,0.43576108128080804,0.22026762345939588,-0.00487924827055055,0.32801435237010196
10000_Restaurant_Reviews,air-canada-review,0.0144892622352081,0.02231509052217,0.2761325005418596,0.3408038798303666,0.01840217637868905,0.3084681901861131
10000_Restaurant_Reviews,airport_reviews,0.0073024930747922,0.0301731806248426,0.12136660088645237,0.35835232496619973,0.018737836849817398,0.23985946292632604
10000_Restaurant_Reviews,AI_ML_Youtube_Videos,0.0150013840830449,0.1371501237154007,0.2871609608617212,0.5972499441199086,0.0760757538992228,0.4422054524908149
10000_Restaurant_Reviews,Allsides-Rating_of_bias_in_electronic,0.0115385,,0.2125883179185299,,,
10000_Restaurant_Reviews,All_Elon_Musk_Tweets,0.0139737609329446,0.1339892596006393,0.265031264223073,0.5901911995935701,0.07398151026679195,0.42761123190832157
10000_Restaurant_Reviews,All_injuries_in_Cinematography,0.0097633120347873,0.0216681975871324,0.17435993512771597,0.33935925842351805,0.01571575481095985,0.256859596775617
10000_Restaurant_Reviews,Amazon_customer_reviews_of_Musical_Instrument,0.00957312,-0.0517343804240226,0.17026418073319946,0.17543887876035086,-0.0210806302120113,0.17285152974677515
10000_Restaurant_Reviews,Amazon_Employee_Reviews,0.0135737217598097,0.1752765327692031,0.25641648599022865,0.6823926682125521,0.0944251272645064,0.4694045771013904
10000_Restaurant_Reviews,Amazon_Oatmeal_Cookie_Reviews,0.00754832,0.0644789710640907,0.1266604435562378,0.4349629610748117,0.03601364553204535,0.28081170231552477
10000_Restaurant_Reviews,amazon_reviews,0.012765943877551,0.0135478600859642,0.2390211212750118,0.32122517046297994,0.013156901981757601,0.2801231458689959
10000_Restaurant_Reviews,amazon_top500_bestseller_laptop,0.0130825420014609,0.0970351174473762,0.24583901014585652,0.5076663458892633,0.05505882972441855,0.3767526780175599
