Query,Target,Diversity,Similarity
10000_Restaurant_Reviews,2022_NEXT_UK-PM-Tweets,0.00635648,0.0303651019930839
10000_Restaurant_Reviews,2023-02-27-yc-companies,0.0132085937499999,0.0614337101578712
10000_Restaurant_Reviews,5-Minute_Crafts,0.0143550120935232,0.0996886268258094
10000_Restaurant_Reviews,700_Classic_Disco_Tracks_(with_Spotify_Data),0.0219018367346938,-0.0316603332757949
10000_Restaurant_Reviews,air-canada-review,0.0144892622352081,0.02231509052217
10000_Restaurant_Reviews,airport_reviews,0.0073024930747922,0.0301731806248426
10000_Restaurant_Reviews,AI_ML_Youtube_Videos,0.0150013840830449,0.1371501237154007
10000_Restaurant_Reviews,Allsides-Rating_of_bias_in_electronic,0.0115385,
10000_Restaurant_Reviews,All_Elon_Musk_Tweets,0.0139737609329446,0.1339892596006393
10000_Restaurant_Reviews,All_injuries_in_Cinematography,0.0097633120347873,0.0216681975871324
10000_Restaurant_Reviews,Amazon_customer_reviews_of_Musical_Instrument,0.00957312,-0.0517343804240226
10000_Restaurant_Reviews,Amazon_Employee_Reviews,0.0135737217598097,0.1752765327692031
10000_Restaurant_Reviews,Amazon_Oatmeal_Cookie_Reviews,0.00754832,0.0644789710640907
10000_Restaurant_Reviews,amazon_reviews,0.012765943877551,0.0135478600859642
10000_Restaurant_Reviews,amazon_top500_bestseller_laptop,0.0130825420014609,0.0970351174473762
10000_Restaurant_Reviews,American_reviews_trustpilot,0.0073024930747922,0.1004417538642883
10000_Restaurant_Reviews,Animals_Being_Bros,0.0073024930747922,-0.0783498585224151
10000_Restaurant_Reviews,Anime_Quotes,0.0099756862112089,0.0350287146866321
10000_Restaurant_Reviews,APPLE_iPhone_SE,0.0128568,
10000_Restaurant_Reviews,Arabic_Names,0.0081185950413223,0.1648239493370056
10000_Restaurant_Reviews,awesome_chatgpt_prompts,0.0072797120486584,0.0295896474272012
10000_Restaurant_Reviews,bad_bunny_lyrics,0.0091019133980335,-0.0878004059195518
10000_Restaurant_Reviews,bbc_full_text_document,0.0106809917355371,0.0620436631143093
10000_Restaurant_Reviews,BBC_News_Articles,0.0145577523413111,0.064980499446392
10000_Restaurant_Reviews,Beat_Bobby_Flay,0.0149017578125,0.0852571278810501
10000_Restaurant_Reviews,Best_Books_Multi-Genre,0.0084663257852447,0.0356253236532211
