Query,Target,Diversity,Similarity,IVS,scaled_div,scaled_sim,scaled_IVS
10000_Restaurant_Reviews,2022_NEXT_UK-PM-Tweets,0.00635648,0.0303651019930839,0.487995689003458,0.10099436388565797,0.3587809178630706,0.3711067230112937
10000_Restaurant_Reviews,2023-02-27-yc-companies,0.0132085937499999,0.0614337101578712,0.4758874417960643,0.2485535139556111,0.4281623780783257,0.4101955679386427
10000_Restaurant_Reviews,5-Minute_Crafts,0.0143550120935232,0.0996886268258094,0.4573331926338569,0.273241445675207,0.5135920814225091,0.3798246821263489
10000_Restaurant_Reviews,700_Classic_Disco_Tracks_(with_Spotify_Data),0.0219018367346938,-0.0316603332757949,0.5267810850052443,0.43576108128080804,0.22026762345939588,0.6077467289107061
10000_Restaurant_Reviews,air-canada-review,0.0144892622352081,0.02231509052217,0.496087085856519,0.2761325005418596,0.3408038798303666,0.4676643103557465
10000_Restaurant_Reviews,airport_reviews,0.0073024930747922,0.0301731806248426,0.4885646562249748,0.12136660088645237,0.35835232496619973,0.3815071379601263
10000_Restaurant_Reviews,AI_ML_Youtube_Videos,0.0150013840830449,0.1371501237154007,0.4389256301838221,0.2871609608617212,0.5972499441199086,0.34495550837090627
10000_Restaurant_Reviews,Allsides-Rating_of_bias_in_electronic,0.0115385,,,0.2125883179185299,,
10000_Restaurant_Reviews,All_Elon_Musk_Tweets,0.0139737609329446,0.1339892596006393,0.4399922506661526,0.265031264223073,0.5901911995935701,0.33742003231475143
10000_Restaurant_Reviews,All_injuries_in_Cinematography,0.0097633120347873,0.0216681975871324,0.4940475572238274,0.17435993512771597,0.33935925842351805,0.41750033835209893
10000_Restaurant_Reviews,Amazon_customer_reviews_of_Musical_Instrument,0.00957312,-0.0517343804240226,0.5306537502120113,0.17026418073319946,0.17543887876035086,0.4974126509864243
10000_Restaurant_Reviews,Amazon_Employee_Reviews,0.0135737217598097,0.1752765327692031,0.4191485944953033,0.25641648599022865,0.6823926682125521,0.2870119088888383
10000_Restaurant_Reviews,Amazon_Oatmeal_Cookie_Reviews,0.00754832,0.0644789710640907,0.4715346744679546,0.1266604435562378,0.4349629610748117,0.3458487412407131
10000_Restaurant_Reviews,amazon_reviews,0.012765943877551,0.0135478600859642,0.4996090418957934,0.2390211212750118,0.32122517046297994,0.45889797540601596
10000_Restaurant_Reviews,amazon_top500_bestseller_laptop,0.0130825420014609,0.0970351174473762,0.4580237122770423,0.24583901014585652,0.5076663458892633,0.3690863321282966
10000_Restaurant_Reviews,American_reviews_trustpilot,0.0073024930747922,0.1004417538642883,0.4534303696052519,0.12136660088645237,0.5152739415618532,0.30304632966229955
10000_Restaurant_Reviews,Animals_Being_Bros,0.0073024930747922,-0.0783498585224151,0.5428261757986037,0.12136660088645237,0.11600201165001325,0.5026822946182196
10000_Restaurant_Reviews,Anime_Quotes,0.0099756862112089,0.0350287146866321,0.4874734857622884,0.17893337831808595,0.369195554297396,0.40486891201034503
10000_Restaurant_Reviews,APPLE_iPhone_SE,0.0128568,,,0.24097769302737448,,
10000_Restaurant_Reviews,Arabic_Names,0.0081185950413223,0.1648239493370056,0.4216473228521583,0.13894122339641882,0.6590502803688122,0.2399454715138033
10000_Restaurant_Reviews,awesome_chatgpt_prompts,0.0072797120486584,0.0295896474272012,0.4888450323107286,0.1208760152107512,0.35704919657622813,0.38191340931726153
10000_Restaurant_Reviews,bad_bunny_lyrics,0.0091019133980335,-0.0878004059195518,0.5484511596587927,0.1601168235481953,0.09489733986140142,0.5326097418433969
10000_Restaurant_Reviews,bbc_full_text_document,0.0106809917355371,0.0620436631143093,0.4743186643106138,0.19412201754777086,0.4295245062610825,0.38229875564334415
10000_Restaurant_Reviews,BBC_News_Articles,0.0145577523413111,0.064980499446392,0.4747886264474595,0.27760742378649483,0.4360829588332854,0.4207622324766047
10000_Restaurant_Reviews,Beat_Bobby_Flay,0.0149017578125,0.0852571278810501,0.4648223149657249,0.28501552540302866,0.4813641018306474,0.40182571178619064
10000_Restaurant_Reviews,Best_Books_Multi-Genre,0.0084663257852447,0.0356253236532211,0.4864205010660117,0.14642954815261283,0.37052788309242624,0.3879508325300933
10000_Restaurant_Reviews,Best_Movie_by_Year_Netflix,0.0114684397681111,-0.0275077614933252,0.5194881006307182,0.21107958227163112,0.2295410190485473,0.49076928161154193
